Documentation Status,Category,Name,Method,Endpoint Template,Path Parameters,Query / Body Parameters,Description,Budget Bowl Use,Stability Risk,Caching Guidance,Source URL
Documented,User,Get user by username,GET,https://api.sleeper.app/v1/user/{username},username,,Returns a public Sleeper user object.,Link a Budget Bowl account to a Sleeper identity.,Low,Cache user_id permanently; refresh mutable profile fields periodically.,https://docs.sleeper.com/
Documented,User,Get user by user ID,GET,https://api.sleeper.app/v1/user/{user_id},user_id,,Returns a public Sleeper user object by stable ID.,Refresh linked account identity and avatar.,Low,Cache for several hours or daily.,https://docs.sleeper.com/
Documented,Avatar,Get full-size avatar,GET,https://sleepercdn.com/avatars/{avatar_id},avatar_id,,Returns the full-size avatar image for a user or league.,Display Sleeper user and league avatars.,Low,Cache through an image/CDN layer using the avatar ID.,https://docs.sleeper.com/
Documented,Avatar,Get avatar thumbnail,GET,https://sleepercdn.com/avatars/thumbs/{avatar_id},avatar_id,,Returns a thumbnail avatar image.,Compact roster and league displays.,Low,Cache through an image/CDN layer using the avatar ID.,https://docs.sleeper.com/
Documented,League,Get leagues for user,GET,https://api.sleeper.app/v1/user/{user_id}/leagues/{sport}/{season},user_id; sport; season,,"Returns all leagues for a user, sport and season.",League import and league-selection screens.,Low,Refresh on login and on explicit sync.,https://docs.sleeper.com/
Documented,League,Get league,GET,https://api.sleeper.app/v1/league/{league_id},league_id,,"Returns league settings, scoring, roster positions and season links.",Core league configuration and commissioner verification.,Low,Refresh periodically and before configuration-dependent operations.,https://docs.sleeper.com/
Documented,League,Get league rosters,GET,https://api.sleeper.app/v1/league/{league_id}/rosters,league_id,,"Returns rosters, owners, players, starters and standings settings.","Roster synchronization, team ownership and standings.",Low,Refresh on sync; more often during waivers and games.,https://docs.sleeper.com/
Documented,League,Get league users,GET,https://api.sleeper.app/v1/league/{league_id}/users,league_id,,"Returns league users, display names, avatars, team metadata and commissioner flag.",Manager directory and commissioner authorization.,Low,Refresh daily or on explicit sync.,https://docs.sleeper.com/
Documented,League,Get weekly matchups,GET,https://api.sleeper.app/v1/league/{league_id}/matchups/{week},league_id; week,,"Returns every roster's players, starters, matchup ID and league-scored points for a week.","Scoreboards, lineup history and weekly results.",Low,Refresh frequently during active games; freeze completed weeks locally.,https://docs.sleeper.com/
Documented,League,Get winners bracket,GET,https://api.sleeper.app/v1/league/{league_id}/winners_bracket,league_id,,Returns playoff winners-bracket matchups and progression.,Playoff display and league history.,Low,Refresh during playoffs; retain completed bracket.,https://docs.sleeper.com/
Documented,League,Get losers bracket,GET,https://api.sleeper.app/v1/league/{league_id}/losers_bracket,league_id,,Returns playoff consolation/losers-bracket matchups and progression.,Consolation standings and draft-order workflows.,Low,Refresh during playoffs; retain completed bracket.,https://docs.sleeper.com/
Documented,League,Get transactions by round/week,GET,https://api.sleeper.app/v1/league/{league_id}/transactions/{round},league_id; round,,"Returns trades, waivers and free-agent transactions for a round (NFL week).",Contract transaction synchronization and audit history.,Low,Poll incrementally; store transaction_id idempotently.,https://docs.sleeper.com/
Documented,League,Get league traded picks,GET,https://api.sleeper.app/v1/league/{league_id}/traded_picks,league_id,,Returns current ownership of traded future picks.,"Asset ownership, trade validation and draft-pick displays.",Low,Refresh after transactions and before trade validation.,https://docs.sleeper.com/
Documented,State,Get sport state,GET,https://api.sleeper.app/v1/state/{sport},sport,,"Returns current season, week, display week and league-season state.",Choose default season/week and drive scheduled synchronization.,Low,Cache briefly; refresh before time-sensitive jobs.,https://docs.sleeper.com/
Documented,Draft,Get drafts for user,GET,https://api.sleeper.app/v1/user/{user_id}/drafts/{sport}/{season},user_id; sport; season,,Returns all drafts for a user in a season.,User draft history and draft selection.,Low,Refresh on demand.,https://docs.sleeper.com/
Documented,Draft,Get drafts for league,GET,https://api.sleeper.app/v1/league/{league_id}/drafts,league_id,,Returns all drafts for a league; dynasty leagues may have multiple.,"Identify rookie, startup and supplemental drafts.",Low,Refresh on league sync.,https://docs.sleeper.com/
Documented,Draft,Get draft,GET,https://api.sleeper.app/v1/draft/{draft_id},draft_id,,"Returns draft settings, status, order and roster-slot mapping.",Draft-board setup and ownership mapping.,Low,Poll during live drafts; retain completed draft metadata.,https://docs.sleeper.com/
Documented,Draft,Get draft picks,GET,https://api.sleeper.app/v1/draft/{draft_id}/picks,draft_id,,Returns all completed selections in a draft.,"Draft import, rookie-contract creation and auction recap.",Low,Poll during live drafts; freeze completed results.,https://docs.sleeper.com/
Documented,Draft,Get draft traded picks,GET,https://api.sleeper.app/v1/draft/{draft_id}/traded_picks,draft_id,,Returns traded-pick ownership associated with a draft.,Draft-board ownership and asset validation.,Low,Refresh with the draft and after trades.,https://docs.sleeper.com/
Documented,Player,Get all players,GET,https://api.sleeper.app/v1/players/{sport},sport,position; active,Returns the player-ID map; optional filters limit by fantasy position and active status.,Canonical Sleeper player IDs and external-ID crosswalks.,Low,Sleeper says no more than once daily; filtered requests may be smaller.,https://docs.sleeper.com/
Documented,Player,Get trending adds,GET,https://api.sleeper.app/v1/players/{sport}/trending/add,sport,lookback_hours; limit,Returns players with the most adds during the selected lookback.,Waiver trends and market-demand signals.,Low,Cache for 15-60 minutes and attribute Sleeper.,https://docs.sleeper.com/
Documented,Player,Get trending drops,GET,https://api.sleeper.app/v1/players/{sport}/trending/drop,sport,lookback_hours; limit,Returns players with the most drops during the selected lookback.,Drop alerts and declining-demand indicators.,Low,Cache for 15-60 minutes and attribute Sleeper.,https://docs.sleeper.com/
Undocumented / observed,Projection,Get season projections,GET,https://api.sleeper.com/projections/nfl/{season},season,season_type; position[]; order_by,"Returns projected season stat lines, ranks and generic fantasy-point fields.",Custom-scoring season forecasts and contract-value analysis.,Medium,Snapshot daily; preserve previous valid response.,https://github.com/evandiewald/fantasy-football-agent/blob/main/fantasy_chatbot/sleeper.py
Undocumented / observed,Projection,Get weekly projections,GET,https://api.sleeper.com/projections/nfl/{season}/{week},season; week,season_type; position[]; order_by,"Returns projected weekly stat lines, ranks and fantasy-point fields.",Weekly lineup context and player/trade comparisons.,Medium,Refresh several times weekly in season; validate schema.,https://github.com/evandiewald/fantasy-football-agent/blob/main/fantasy_chatbot/sleeper.py
Undocumented / observed,Projection,Get player projections grouped by week,GET,https://api.sleeper.com/projections/nfl/player/{player_id},player_id,season_type; season; grouping=week,"Returns a player's projection records, optionally grouped by week.",Player-page projection trend and remaining schedule outlook.,Medium,Cache with the bulk projection feed where possible.,https://github.com/evandiewald/fantasy-football-agent/blob/main/fantasy_chatbot/sleeper.py
Undocumented / observed,Statistics,Get season player-stat leaderboard,GET,https://api.sleeper.com/stats/nfl/{season},season,season_type; position[]; order_by,Returns season statistics and generic fantasy ranks/points across players.,"Production rankings, cost per point and player search filters.",Medium,Refresh after games and correction windows.,https://github.com/evandiewald/fantasy-football-agent/blob/main/fantasy_chatbot/sleeper.py
Undocumented / observed,Statistics,Get weekly player statistics,GET,https://api.sleeper.com/stats/nfl/{season}/{week},season; week,season_type; position[]; order_by,Returns player statistics for a selected week.,Weekly stat import and custom-scoring calculations.,Medium,Refresh during/after games; retain completed snapshots.,https://github.com/lum8rjack/sleeper-go
Undocumented / observed,Statistics,Get player statistics,GET,https://api.sleeper.com/stats/nfl/player/{player_id},player_id,season_type; season; grouping=week,Returns season totals or week-grouped statistics for one player.,"Player histories, recent form, cost per snap and custom scoring.",Medium,Prefer bulk ingestion; use targeted calls for repairs.,https://github.com/lum8rjack/sleeper-go
Undocumented / observed,Research,Get player research rates,GET,https://api.sleeper.app/players/nfl/research/{season_type}/{season}/{week},season_type (regular or post); season; week,,Returns player-ID keyed owned and started rates observed by Sleeper.,Sleeper roster/start-rate market indicators.,Medium,Refresh weekly; label methodology conservatively.,https://github.com/lum8rjack/sleeper-go
Undocumented / observed,Player,Get individual player details,GET,https://api.sleeper.app/player/nfl/{player_id},player_id,,Returns targeted metadata for one NFL player.,Repair or refresh a player without downloading the full map.,Medium,Use sparingly; keep the documented daily map as primary.,https://github.com/lum8rjack/sleeper-go
Undocumented / observed,Player,Get team depth chart,GET,https://api.sleeper.app/players/nfl/{team}/depth_chart,team,,"Returns player IDs grouped by offensive, defensive and special-teams depth-chart positions.","Starter/backup context, opportunity alerts and filters.",Medium,Refresh daily; treat as informational rather than official.,https://github.com/lum8rjack/sleeper-go
Undocumented / observed,Schedule,Get regular-season schedule,GET,https://api.sleeper.app/schedule/nfl/regular/{season},season,,"Returns game status, date, home, away, week and game ID.","Bye weeks, opponents, game association and lock support.",Low-Medium,Refresh daily; store resolved kickoff/lock values locally.,https://github.com/lum8rjack/sleeper-go
Undocumented / observed,Schedule,Get postseason schedule,GET,https://api.sleeper.app/schedule/nfl/post/{season},season,,Returns postseason game schedule and IDs.,Playoff matchup context and game association.,Low-Medium,Refresh during playoffs; retain final schedule.,https://github.com/lum8rjack/sleeper-go
Undocumented / observed,GraphQL,Get player news,POST,https://sleeper.com/graphql,,"GraphQL operation: get_player_news; variables/arguments include sport, player_id and limit",Returns recent player-news metadata and source information.,"News alerts, trade context and player-page briefings.",High,Cache results; link to sources; review content licensing.,https://github.com/evandiewald/fantasy-football-agent/blob/main/fantasy_chatbot/sleeper.py
Undocumented / observed,GraphQL,Get league-history metadata,POST,https://sleeper.com/graphql,,GraphQL operation: metadata; type=league_history; key=league_id,Returns Sleeper-stored league-history metadata such as observed standings summaries.,Optional history validation and historical enrichment.,High,Prefer reconstructing history from documented endpoints.,https://github.com/evandiewald/fantasy-football-agent/blob/main/fantasy_chatbot/sleeper.py
